date,usd_inr_rate
2020-10-29,74.38
2020-10-30,74.567
2020-11-13,74.582
2020-11-16,74.38
2020-11-17,74.48
2020-11-18,74.12
2020-11-19,74.11
2020-11-20,74.12
2020-11-23,74.26
2020-11-24,74.079
2020-11-25,73.789
2020-11-26,73.837
2020-11-27,73.935
2020-11-30,74.0
2020-12-14,73.64
2020-12-15,73.558
2020-12-16,73.64
2020-12-17,73.525
2020-12-18,73.575
2020-12-21,74.028
2020-12-22,73.854
2020-12-23,73.78
2020-12-24,73.555
2020-12-25,73.558
2020-12-28,73.548
2020-12-29,73.405
2020-12-30,73.144
2020-12-31,73.054
2021-01-13,73.17
2021-01-14,73.08
2021-01-15,73.13
2021-01-18,73.188
2021-01-19,73.192
2021-01-20,72.915
2021-01-21,72.97
2021-01-22,72.985
2021-01-25,72.97
2021-01-26,72.915
2021-01-27,73.07
2021-01-28,72.944
2021-01-29,72.906
2021-02-15,72.624
2021-02-16,72.87
2021-02-17,72.835
2021-02-18,72.585
2021-02-19,72.56
2021-02-22,72.45
2021-02-23,72.382
2021-02-24,72.39
2021-02-25,72.745
2021-02-26,73.937
2021-03-15,72.535
2021-03-16,72.515
2021-03-17,72.57
2021-03-18,72.7
2021-03-19,72.413
2021-03-22,72.38
2021-03-23,72.555
2021-03-24,72.595
2021-03-25,72.665
2021-03-26,72.615
2021-03-29,72.755
2021-03-30,73.445
2021-03-31,73.148
2021-04-13,75.27
2021-04-14,75.06
2021-04-15,74.73
2021-04-16,74.54
2021-04-19,74.86
2021-04-20,75.395
2021-04-21,75.439
2021-04-22,75.12
2021-04-23,74.93
2021-04-26,74.757
2021-04-27,74.59
2021-04-28,74.493
2021-04-29,74.1
2021-04-30,74.055
2021-05-13,73.48
2021-05-14,73.3
2021-05-17,73.335
2021-05-18,73.055
2021-05-19,73.22
2021-05-20,73.015
2021-05-21,72.827
2021-05-24,72.835
2021-05-25,72.795
2021-05-26,72.725
2021-05-27,72.71
2021-05-28,72.41
2021-05-31,72.518
2021-06-14,73.185
2021-06-15,73.36
2021-06-16,73.275
2021-06-17,74.186
2021-06-18,74.12
2021-06-21,74.14
2021-06-22,74.34
2021-06-23,74.15
2021-06-24,74.19
2021-06-25,74.22
2021-06-28,74.275
2021-06-29,74.3
2021-06-30,74.365
2021-07-13,74.6
2021-07-14,74.47
2021-07-15,74.55
2021-07-16,74.61
2021-07-19,74.858
2021-07-20,74.535
2021-07-21,74.495
2021-07-22,74.455
2021-07-23,74.427
2021-07-26,74.34
2021-07-27,74.504
2021-07-28,74.5
2021-07-29,74.248
2021-07-30,74.344
2021-08-13,74.242
2021-08-16,74.17
2021-08-17,74.375
2021-08-18,74.29
2021-08-19,74.38
2021-08-20,74.352
2021-08-23,74.135
2021-08-24,74.136
2021-08-25,74.12
2021-08-26,74.155
2021-08-27,73.475
2021-08-30,73.299
2021-08-31,72.951
2021-09-13,73.565
2021-09-14,73.647
2021-09-15,73.445
2021-09-16,73.575
2021-09-17,73.645
2021-09-20,73.653
2021-09-21,73.745
2021-09-22,73.825
2021-09-23,73.81
2021-09-24,73.821
2021-09-27,73.825
2021-09-28,74.2
2021-09-29,74.298
2021-09-30,74.17
2021-10-13,75.306
2021-10-14,74.995
2021-10-15,75.03
2021-10-18,75.21
2021-10-19,75.12
2021-10-20,74.81
2021-10-21,74.889
2021-10-22,74.999
2021-10-25,75.022
2021-10-26,74.942
2021-10-27,75.069
2021-10-28,74.788
2021-10-29,74.935
2021-11-15,74.404
2021-11-16,74.457
2021-11-17,74.255
2021-11-18,74.165
2021-11-19,74.35
2021-11-22,74.445
2021-11-23,74.447
2021-11-24,74.622
2021-11-25,74.502
2021-11-26,75.065
2021-11-29,75.05
2021-11-30,75.1
2021-12-13,75.77
2021-12-14,76.045
2021-12-15,76.355
2021-12-16,76.184
2021-12-17,76.013
2021-12-20,75.73
2021-12-21,75.705
2021-12-22,75.46
2021-12-23,75.035
2021-12-24,75.004
2021-12-27,74.98
2021-12-28,74.715
2021-12-29,74.57
2021-12-30,74.415
2021-12-31,74.486
2022-01-13,73.972
2022-01-14,74.156
2022-01-17,74.255
2022-01-18,74.565
2022-01-19,74.455
2022-01-20,74.468
2022-01-21,74.409
2022-01-24,74.642
2022-01-25,74.787
2022-01-26,74.903
2022-01-27,75.209
2022-01-28,75.046
2022-01-31,74.556
2022-02-14,75.686
2022-02-15,75.177
2022-02-16,75.05
2022-02-17,75.105
2022-02-18,74.687
2022-02-21,74.524
2022-02-22,74.63
2022-02-23,74.64
2022-02-24,75.615
2022-02-25,75.075
2022-02-28,75.52
2022-03-14,76.45
2022-03-15,76.42
2022-03-16,76.2
2022-03-17,75.937
2022-03-18,76.065
2022-03-21,76.285
2022-03-22,76.159
2022-03-23,76.53
2022-03-24,76.305
2022-03-25,76.285
2022-03-28,76.09
2022-03-29,75.666
2022-03-30,75.823
2022-03-31,75.928
2022-04-13,76.122
2022-04-14,76.292
2022-04-15,76.332
2022-04-18,76.284
2022-04-19,76.445
2022-04-20,76.269
2022-04-21,76.262
2022-04-22,76.475
2022-04-25,76.748
