date,ticker,close_price,sentiment_score,usd_inr_rate,interest_rate,unemployment_rate,return_1,return_direction,days_to_next_event,days_since_last_event,is_event_window,event_impact_score
2019-01-01,TCS,1717.5715,0.0,70.76,6.25,6.51,,1,31.0,365.0,0.0,0.0
2019-01-02,TCS,1736.0759,0.3818,70.76,6.25,6.51,0.0107735835160283,0,30.0,365.0,0.0,0.0
2019-01-03,TCS,1714.9988,-0.6486,70.76,6.25,6.51,-0.0121406558319252,0,29.0,365.0,0.0,0.0
2019-01-03,TCS,1714.9988,0.0,70.76,6.25,6.51,0.0,0,29.0,365.0,0.0,0.0
2019-01-03,TCS,1714.9988,-0.34,70.76,6.25,6.51,0.0,0,29.0,365.0,0.0,0.0
2019-01-03,TCS,1714.9988,0.0,70.76,6.25,6.51,0.0,0,29.0,365.0,0.0,0.0
2019-01-04,TCS,1694.1475,0.0,70.76,6.25,6.51,-0.012158200927021,0,28.0,365.0,0.0,0.0
2019-01-04,TCS,1694.1475,0.5106,70.76,6.25,6.51,0.0,0,28.0,365.0,0.0,0.0
2019-01-04,TCS,1694.1475,0.4767,70.76,6.25,6.51,0.0,1,28.0,365.0,0.0,0.0
2019-01-07,TCS,1713.1483,0.0,70.76,6.25,6.51,0.0112155523648325,0,25.0,365.0,0.0,0.0
2019-01-07,TCS,1713.1483,0.1779,70.76,6.25,6.51,0.0,0,25.0,365.0,0.0,0.0
2019-01-08,TCS,1709.2218,0.2263,70.76,6.25,6.51,-0.0022919790423281,0,24.0,365.0,0.0,0.0
2019-01-08,TCS,1709.2218,0.1779,70.76,6.25,6.51,0.0,0,24.0,365.0,0.0,0.0
2019-01-09,TCS,1703.2643,0.0,70.76,6.25,6.51,-0.0034855043388751,1,23.0,365.0,0.0,0.0
2019-01-10,TCS,1704.7089,0.0,70.76,6.25,6.51,0.0008481361348324,0,22.0,365.0,0.0,0.0
2019-01-10,TCS,1704.7089,0.1779,70.76,6.25,6.51,0.0,0,22.0,365.0,0.0,0.0
2019-01-11,TCS,1663.1864,-0.296,70.76,6.25,6.51,-0.0243575310717273,0,21.0,365.0,0.0,0.0
2019-01-11,TCS,1663.1864,0.0,70.76,6.25,6.51,0.0,0,21.0,365.0,0.0,0.0
2019-01-14,TCS,1636.7389,-0.5719,70.76,6.25,6.51,-0.0159017053049496,0,18.0,365.0,0.0,0.0
2019-01-14,TCS,1636.7389,-0.296,70.76,6.25,6.51,0.0,1,18.0,365.0,0.0,0.0
